tmc_code,miles,hour_0_mean_tt_seconds,hour_0_5th_pct,hour_0_95th_pct,hour_1_mean_tt_seconds,hour_1_5th_pct,hour_1_95th_pct,hour_2_mean_tt_seconds,hour_2_5th_pct,hour_2_95th_pct,hour_3_mean_tt_seconds,hour_3_5th_pct,hour_3_95th_pct,hour_4_mean_tt_seconds,hour_4_5th_pct,hour_4_95th_pct,hour_5_mean_tt_seconds,hour_5_5th_pct,hour_5_95th_pct,hour_6_mean_tt_seconds,hour_6_5th_pct,hour_6_95th_pct,hour_7_mean_tt_seconds,hour_7_5th_pct,hour_7_95th_pct,hour_8_mean_tt_seconds,hour_8_5th_pct,hour_8_95th_pct,hour_9_mean_tt_seconds,hour_9_5th_pct,hour_9_95th_pct,hour_10_mean_tt_seconds,hour_10_5th_pct,hour_10_95th_pct,hour_11_mean_tt_seconds,hour_11_5th_pct,hour_11_95th_pct,hour_12_mean_tt_seconds,hour_12_5th_pct,hour_12_95th_pct,hour_13_mean_tt_seconds,hour_13_5th_pct,hour_13_95th_pct,hour_14_mean_tt_seconds,hour_14_5th_pct,hour_14_95th_pct,hour_15_mean_tt_seconds,hour_15_5th_pct,hour_15_95th_pct,hour_16_mean_tt_seconds,hour_16_5th_pct,hour_16_95th_pct,hour_17_mean_tt_seconds,hour_17_5th_pct,hour_17_95th_pct,hour_18_mean_tt_seconds,hour_18_5th_pct,hour_18_95th_pct,hour_19_mean_tt_seconds,hour_19_5th_pct,hour_19_95th_pct,hour_20_mean_tt_seconds,hour_20_5th_pct,hour_20_95th_pct,hour_21_mean_tt_seconds,hour_21_5th_pct,hour_21_95th_pct,hour_22_mean_tt_seconds,hour_22_5th_pct,hour_22_95th_pct,hour_23_mean_tt_seconds,hour_23_5th_pct,hour_23_95th_pct
114P05979,0.069109,5.795454545454545,4.13,8.217999999999998,6.510000000000002,4.52,12.976499999999998,6.269375000000002,4.164,16.59,5.202820512820513,4.143000000000001,8.29,5.636190476190475,4.44,7.758499999999998,6.113389830508472,4.276,9.283999999999997,6.556764705882354,4.4995,10.662499999999998,10.664056603773588,5.65,26.95,11.973999999999997,6.2124999999999995,27.81299999999999,8.287647058823524,5.416,14.63,7.4015740740740705,4.5515,11.660999999999994,7.491616161616161,4.98,11.31,7.50771186440678,4.678000000000001,11.938499999999994,7.877604166666669,5.08,11.754999999999999,10.48692307692308,5.35,20.880000000000003,16.222551020408165,5.596,49.760000000000005,32.12905660377357,7.32,62.2,33.302111111111095,5.79,62.2,12.310224719101125,6.22,27.64,8.040298507462687,4.84,13.600999999999996,6.490499999999999,4.3565000000000005,10.392499999999998,5.748260869565217,4.52,8.1025,6.1314,4.319,9.95,5.914390243902441,4.36,10.82
114-11865,0.49946999999999997,63.525,51.598,82.41,95.58999999999999,69.16,139.85,106.27454545454547,49.985,279.705,86.88714285714286,55.93899999999999,128.54799999999997,83.51666666666667,56.3675,131.8275,62.917142857142856,45.382,75.47399999999999,118.69800000000001,78.18,224.42399999999998,83.71103448275863,62.0,116.87399999999998,104.03312500000003,69.16,149.84,87.4244444444445,62.0,128.44,107.528,59.94,254.72949999999972,104.14075471698112,59.164,187.9799999999999,111.64629032258063,64.339,255.26449999999988,100.76092592592595,64.22,149.84,109.16117647058822,70.53999999999999,194.11,109.68354166666667,58.0,192.79699999999997,125.08514705882357,66.6,229.89899999999992,121.96384615384615,65.529,239.20949999999985,134.41333333333333,66.6,256.87,99.69475,59.7525,163.46,99.7592,59.94,173.81599999999992,130.40647058823532,52.89,325.36799999999977,80.935,54.49000000000001,127.63699999999999,76.46666666666665,59.06699999999999,144.19899999999998
114-11866,0.9816540000000001,193.76538461538465,112.576,412.2919999999999,236.95000000000005,108.46700000000001,522.7274999999998,197.9325,98.17,441.7439999999998,200.0371428571429,147.25,341.1229999999999,160.61454545454544,114.12,214.375,185.21307692307695,114.0,318.05999999999995,213.9766666666667,114.969,335.72849999999994,237.11181818181828,141.36,495.38350000000014,267.56683673469405,135.1655,441.74,265.14185185185204,141.36,504.85,259.6607594936709,152.421,504.85,290.4789690721651,146.072,454.36199999999934,299.5927906976744,150.595,504.85,296.06209876543215,126.21,588.99,302.70428571428573,153.65,588.99,300.125076923077,135.92,588.99,316.3811627906979,162.5425,567.955,320.22793103448294,147.25,671.4500000000003,322.05716049382727,135.92,706.79,269.4911111111111,120.03300000000002,504.85,218.10929824561416,120.288,402.47599999999983,201.4848387096774,114.12,356.96500000000003,161.96484848484846,120.236,242.52799999999988,154.2136,100.97,277.17599999999976
114-11864,0.511836,93.58,55.84,180.64499999999998,108.99428571428572,45.349000000000004,204.72999999999996,123.355,76.7745,186.81699999999998,91.25666666666666,72.557,112.418,98.36000000000001,63.28900000000001,146.206,98.2623076923077,40.45,242.44799999999947,97.32727272727274,62.53,136.675,108.68880000000001,62.298,151.188,124.22096774193548,71.0115,204.73,106.2503797468354,68.24,169.1849999999999,97.94157894736843,55.84,184.26,129.4916363636363,67.511,325.52599999999984,125.34903225806444,59.644999999999996,301.9814999999996,139.1321052631579,63.54,319.38399999999973,111.00226415094339,67.268,174.20999999999998,154.07052631578938,73.7,368.52,158.10166666666666,77.8665,307.1,172.37714285714284,72.9925,368.52,136.48119047619053,61.525999999999996,304.9064999999998,101.57815789473683,55.3615,187.33049999999997,91.1875,52.321000000000005,155.08550000000002,111.8138888888889,52.65,196.5439999999993,90.45857142857142,53.1365,167.36949999999993,74.45866666666666,55.345,107.36899999999997
114+05970,5.596887000000001,430.84124999999995,347.39,524.3894999999995,398.30676470588236,328.4635,441.42549999999994,394.1122222222223,324.98,434.68199999999996,458.29479999999995,331.40999999999997,503.72,395.9199999999999,321.3935,489.675,413.43836734693855,334.985,461.1999999999998,431.5305932203385,335.81,537.0474999999997,414.05024390243915,330.58500000000004,543.164,416.7762637362637,333.06,530.23,425.8610989010987,333.06,523.435,429.08725274725276,330.31,546.16,416.76316831683147,330.31,516.64,520.2633333333329,335.81,1080.343999999999,394.4308108108106,319.82,457.93,383.4132710280372,309.98,465.3849999999999,397.52676767676775,319.81999999999994,458.99499999999995,388.29479999999995,324.722,458.4625,391.74322314049556,314.82,491.43,456.3106315789472,330.31,498.99299999999994,521.762987012987,324.98,554.1700000000001,412.45369863013696,335.81,505.02399999999926,398.77979999999997,319.82,531.9959999999999,383.8577192982455,324.98,434.5459999999998,394.92744186046514,336.379,456.91200000000003
114+05971,1.689489,147.175,111.9925,178.89,146.84,119.445,184.31,123.80322580645164,108.61,147.08999999999997,135.38242424242424,103.464,166.20799999999997,144.38431034482758,109.998,196.2,163.8721212121212,110.58,225.27000000000004,159.4096694214876,119.26,217.22,181.07198113207545,117.535,276.46,190.98113207547178,124.77499999999999,289.63,194.83466666666672,122.138,286.996,181.80154545454548,124.13,254.92249999999993,199.19009708737866,129.98499999999999,336.12099999999987,226.62739495798326,130.924,388.91199999999947,198.59380530973456,128.32999999999998,310.5099999999999,210.39313559322045,135.16,322.77849999999984,221.98859649122815,121.64,320.11,208.33911764705886,119.37900000000002,303.38599999999985,193.2242477876108,128.98399999999998,269.2479999999999,194.34049504950502,126.71,264.44,166.11112676056345,119.26,243.675,170.86841269841275,129.691,217.21999999999997,168.42881355932212,112.228,254.73799999999935,157.0790909090909,111.79,219.635,152.5779411764706,126.70999999999998,209.72999999999996
114-11867,0.43038000000000004,59.731428571428566,51.64999999999999,81.67499999999998,53.723333333333336,49.98,60.31,56.77,46.751,66.362,80.04750000000001,56.32599999999999,120.81049999999999,81.27250000000001,52.224000000000004,120.81049999999999,55.403333333333336,45.581,63.842000000000006,59.27125,43.9255,78.54799999999999,101.45357142857141,55.3745,200.00699999999995,137.79659574468087,68.281,309.87,92.50000000000001,49.98,193.67,81.47634146341463,48.42,140.85,80.74249999999999,55.33,115.28,78.39388888888888,46.605000000000004,145.25,87.26549999999997,46.95,143.49099999999984,78.06928571428573,50.564499999999995,108.08699999999999,90.49562500000002,47.1375,154.93499999999997,80.66354838709675,44.92,140.85,91.18891304347825,45.307500000000005,167.84750000000003,90.23714285714284,48.42,172.15,72.14344827586207,47.934000000000005,118.78199999999995,72.51038461538462,48.809999999999995,124.50000000000001,65.23799999999999,48.42,86.82449999999999,69.08666666666667,48.42,140.85,84.90785714285713,46.537,198.51499999999987
114-11868,0.686919,,,,,,,176.64,176.64,176.64,,,,,,,137.38,137.38,137.38,,,,123.65,123.65,123.65,197.28928571428568,112.51700000000001,345.174,,,,234.27249999999998,195.4085,270.64799999999997,167.35857142857142,104.572,254.16299999999995,,,,308.2788888888889,158.68,659.4399999999998,191.34,131.9575,224.81,231.58875,119.8215,494.58000000000004,161.35500000000002,145.47,186.825,301.1725,107.10650000000001,578.4859999999999,177.45076923076925,119.15,274.77,391.545,187.5285,595.5615,215.445,207.0165,223.8735,144.465,131.2345,161.9515,,,,145.47,145.47,145.47
114+05979,0.342059,37.21,23.7175,47.36,66.398,31.912,149.85799999999998,40.59375000000001,27.183,69.93449999999999,81.92625,25.65,283.38149999999985,40.06538461538461,30.67,61.099999999999966,42.59423076923077,25.787499999999998,67.1575,37.2642,27.99,49.97149999999998,64.11675675675674,30.79,136.82,66.66327868852464,36.275,136.13599999999985,59.52094339622641,30.985,136.82,46.72157303370787,27.99,87.96,45.59666666666665,30.79,80.55100000000002,50.88537634408604,28.128,102.62,56.00065934065933,27.99,123.14,54.64300000000001,21.8525,103.08649999999999,70.22617977528088,28.522,184.71599999999972,143.32112149532708,39.251,307.85,154.83169811320755,42.19,307.85,51.397228915662645,33.28,101.15399999999987,44.993529411764705,28.314999999999998,82.46,39.344,26.847,57.649999999999984,36.62238095238096,26.77,53.54,41.53249999999999,27.654,55.27099999999999,40.655263157894744,24.863,57.657999999999916
114+05972,1.185775,160.27615384615385,127.836,244.74199999999973,189.80400000000003,149.38,230.384,182.54692307692306,131.78400000000002,388.07,123.75999999999999,122.149,125.371,176.7575,116.83250000000001,254.61999999999998,144.78272727272727,115.37,194.44,180.84261904761902,118.7495,223.6004999999999,219.271012658228,137.7,391.9509999999998,210.36402597402602,147.2,355.73,206.0642424242425,134.47500000000002,328.37,190.39833333333343,133.198,284.59,193.44257575757592,122.865,266.8,207.70371428571437,129.0825,328.37,203.14844827586217,128.7885,332.474,249.29854838709684,133.615,424.93949999999984,274.23949152542383,132.996,609.83,211.44818181818192,120.953,336.578,246.1112820512821,142.29,420.4100000000005,194.0938235294118,129.36,284.59,196.30411764705883,125.54999999999998,315.07399999999996,179.94599999999997,125.2015,329.73800000000006,168.7384,130.168,254.09599999999983,217.63875000000002,123.22299999999998,537.1594999999998,165.882,123.581,247.7419999999999
